domain,Email,Media,Phone,Address
nefsvt.com,nan,"['https://l.facebook.com/l.php?u=https%3A%2F%2Ftinyurl.com%2FNEFS-Review%3Ffbclid%3DIwZXh0bgNhZW0CMTAAAR2MZ04anwLTflN7PakFVkg3mJg0jp5UitudS43BOj4Ooe0EBNOGZdUsxhY_aem_tiud7hH0vPa9Gqxz8_uwzw&h=AT1F0EJEuRukQQKD82INrwaqfJ0n3TsXvMOuwtXuNHLGdPZpM90coNNxPQz8shXHfL4W-OBv4a_CNLVrGGtLAwoYQNbjZQCvULYybMMGGSHs_fGKwQwBCXBSxASzt3QFKsAk&__tn__=R]-R&c[0]=AT2VwuMB2rNfgTJh7izkEjZ4-yBt1W0jPw67qAg1kplGDJkTDwCSE_UVnp5uZrRorVmo_XFcDudZEqP9iYqO3KrWXsKePI0Z9ImTFOOBYsWEze78N6tUTGA6P6ALqWyekFeHcBgvTb6Ps-JbVfS1Gt_Dd29llQd5lZ6WdsVed3Vpl6l-StfJaZLS0hPWVhCiT9pu1BxWFtf0XmPX0-aS-BXnUqmU4gRXhyLaRg', 'https://www.facebook.com/NortheastFarmServices/', 'https://www.facebook.com/NortheastFarmServices/?ref=hl', 'https://www.instagram.com/nefsvt/', 'https://www.instagram.com/p/DDIVhv4OM0t/', 'https://www.instagram.com/p/DDCoHDqxPxb/', 'https://www.instagram.com/p/DC9aOc5C9oL/', 'https://www.instagram.com/p/DC7e3CgP8s4/', 'https://www.instagram.com/p/DC6ntzmJYNw/', 'https://www.instagram.com/p/DC4nOnkJEUG/', 'https://www.instagram.com/p/DC4QoZEIuoI/', 'https://www.instagram.com/p/DC2fUNxoK0E/']",['(802) 754-8863'],nan
yourvibrantnutrition.com,"['', 'vibrantwellness.ao@gmail.com']","['https://www.linkedin.com/in/annette-o-neill-rdn-3182a5ba/', 'https://www.facebook.com/Dietitianinfo/', 'https://www.instagram.com/wellnessoneill/']",['(732) 829-5146'],nan
burst-media.com,nan,nan,nan,nan
hightechautoservicesantamonica.com,nan,nan,nan,nan
rebeccathebadass.com,nan,['https://www.instagram.com/rebeccaekeating/'],['205-8260'],nan
tsunamipolo.org,nan,nan,nan,nan
bergesenterpriseinc.com,nan,nan,nan,nan
brooklyntreecompany.com,nan,nan,nan,nan
citycenterwaco.com,nan,nan,nan,nan
paysonhandyman.com,nan,"['https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Fpaysonhandyman%2F%3Fref%3Dpages_you_manage&sa=D&sntz=1&usg=AOvVaw00lBsIL37bVvNsYefyp_HP', 'https://www.google.com/url?q=https%3A%2F%2Ftwitter.com%2FHandymanPayson&sa=D&sntz=1&usg=AOvVaw2OBFkntXs4uqe1QDv4Hequ', 'http://www.google.com/url?q=http%3A%2F%2Finstagram.com%2Fpaysonhandyman&sa=D&sntz=1&usg=AOvVaw0XxJ0NDLvG0pT2n_8zA_Rp']",['000-0017'],nan
skdesignbuildllc.com,nan,"['https://twitter.com/SK_Technologies', 'https://www.facebook.com/sktcorp', 'https://www.linkedin.com/company/s&k-technologies/']","['(520) 622-2590', '(478) 953-2275', '(478) 971-6780', '(406) 745-7506', '(478) 333-5370', '(866) 758-2677', '(520) 742-0457', '(250) 946-3300', '(478) 333-5300', '(406) 745-7500']","['63066 Old Highway 93, Suite D']"
adaini.com,nan,nan,nan,nan
brilliantcityreiki.com,nan,nan,nan,nan
genfreellc.com,nan,nan,nan,nan
gentzlerelectric.com,nan,nan,nan,nan
moorecapitalservices.net,nan,nan,['(898) 410-4149'],nan
amendedbeauty.com,nan,nan,nan,nan
beautifulbodybabes.com,nan,nan,nan,nan
charlesmann-contracting.com,nan,nan,nan,nan
growthfutures.net,nan,nan,nan,nan
janarose.us,nan,"['https://www.instagram.com/reel/CuUoHCqs3gq/', 'https://www.instagram.com/reel/CuSUzDdp3S4/', 'https://www.instagram.com/reel/CuPiaj9r-ZK/', 'https://www.instagram.com/p/CuFPFmELou9/', 'https://www.instagram.com/reel/CuDXVwGJ5nv/', 'https://www.instagram.com/reel/CuAPx0wJocZ/', 'https://www.instagram.com/reel/Ct96i3op0vY/', 'https://www.instagram.com/reel/Ct7P56apYIg/', 'https://www.instagram.com/reel/Ct38o-uNK_o/', 'https://www.instagram.com/reel/Ctpf4NBpW95/', 'https://www.instagram.com/p/CtpAf4TJKnC/', 'https://www.instagram.com/reel/CtbwblgRU_k/']",nan,nan
pearlcorker.wordpress.com,nan,nan,nan,nan
skinnerdaylilies.com,nan,nan,nan,nan
tamalpaistaichi.com,['onome2@gmail.com'],nan,nan,nan
asahisuperdry.com,nan,nan,nan,nan
drrokh.com,nan,nan,nan,nan
highwaydistribution.net,"['info@cannabis.com', 'info@bold-themes.com', 'support@bold-themes.com']","['https://www.facebook.com/boldthemes/', 'https://twitter.com/bold_themes', 'https://www.instagram.com/bold_themes/']",['+1 800 555-4985'],nan
kellyhohlainteriors.com,nan,"['https://www.instagram.com/kellyhohla/', 'https://www.facebook.com/hohlainteriors/']",nan,nan
lawrencedy.com,nan,nan,nan,nan
sullivanswcd.org,nan,['https://www.facebook.com/profile.php?id=61558103647651'],"['(845) 292-6552', '(845) 295-9073', '(615) 581-0364']",nan
ergoactives.com,nan,nan,nan,nan
grpinsurance.com,nan,nan,nan,nan
laydomsouth.org,nan,nan,nan,nan
shoplakebuoy.com,nan,nan,nan,nan
tambasamba.design,nan,nan,nan,nan
acornlawpc.com,['team@acorn.law'],['https://www.facebook.com/acornlaw/'],['(805) 409-3878'],nan
airelibreavenue.com,nan,nan,nan,nan
erichedlund.com,nan,nan,nan,nan
imperiumstrategiesllc.com,"['', 'info@imperiumstrategiesllc.com']","['https://www.facebook.com/ImperiumPublicStrategies/', 'http://instagram.com/imperiumpublicstrategies', 'https://www.linkedin.com/company/imperium-public-strategies/']",nan,nan
4v21.com,nan,"['https://twitter.com/share', 'https://twitter.com/richardwolffedc', 'https://twitter.com/realDonaldTrump/status/949619270631256064']","['19585555880283733573282359749842813065920185', '355-5653', '436-5702', '454-8480', '(949) 619-2706']",nan
intfloors.com,nan,nan,nan,nan
norconindustries.net,['tim@norconindustries.net'],nan,"['594-2733', '(480) 839-2324', '(555) 555-5555']","['8437 Washington Pl NE, Albuquerque, New Mexico, United States']"
tic-texas.com,nan,nan,nan,nan
trihealthbalance.com,nan,nan,nan,nan
bathpeople.com,nan,nan,nan,nan
bubongstore.com,nan,nan,nan,nan
cedarwork.org,nan,nan,nan,nan
helixapartments.com,nan,nan,nan,nan
richardsservicecenter.com,nan,nan,nan,nan
epertase.com,nan,nan,nan,nan
id44.com,nan,nan,nan,nan
laflosd.com,nan,nan,nan,nan
lifeofbtc.org,"['', 'beyondthecourt@icloud.com']","['https://www.instagram.com/life.of.btc/', 'https://www.facebook.com/Sterling-Council-605921499827431']","['(605) 921-4998', '(803) 549-0083']",nan
openairchair.com,nan,nan,nan,nan
sushirawsf.com,nan,nan,nan,nan
verve-medical.com,nan,nan,nan,nan
jaredshavelson.com,nan,nan,nan,nan
lgcountryschool.com,nan,nan,nan,nan
wanakenapinecone.wordpress.com,nan,nan,nan,nan
clevelandheightsapartments.com,nan,nan,nan,nan
highqualitypcs.com,nan,nan,nan,nan
tylerteaches.com,nan,nan,nan,nan
86fest.com,nan,"['https://www.instagram.com/86fest/', 'https://www.facebook.com/86FEST/', 'https://www.facebook.com/CarsWithoutLimits/', 'https://instagram.com/socalsd86/', 'https://www.facebook.com/events/285767488297736/', 'https://instagram.com/azfrs86/', 'https://www.facebook.com/TeamTopakRacing']",['(285) 767-4882'],nan
elijahvest.com,nan,nan,nan,nan
hannacho.com,nan,nan,nan,nan
jasonheltonrealestate.com,nan,nan,nan,nan
kathymetzinc.com,nan,"['https://www.facebook.com/', 'https://www.twitter.com/', 'https://www.linkedin.com/', 'https://www.instagram.com/']",['38065544'],"[""'123 Main St, Anytown'""]"
platformtemizlik.com,nan,nan,nan,nan
shmstudios.com,nan,nan,nan,nan
westtubingcompany.com,nan,"['https://www.facebook.com/westtubingcompany', 'https://www.instagram.com/west_tubing_company/', 'https://www.instagram.com/reel/Cv53n2Pg-Aa/?utm_source=ig_embed&utm_campaign=loading']",['(828) 389-8823'],['6175 Old Hwy 64 W']
advance-tcc.com,nan,nan,nan,nan
bluestreakgrinding.com,nan,nan,nan,nan
tashahmoore.com,nan,nan,nan,nan
thejewishheritagefoundation.com,nan,nan,nan,nan
veritassynergetic.com,nan,nan,nan,nan
wellbaum-apiaries.business.site,nan,nan,nan,nan
aroostooktechnologies.com,nan,nan,nan,nan
branchedoakmarina.com,nan,nan,nan,nan
brandibaileyphotos.com,nan,nan,nan,nan
daylilyhealth.org,['info@daylilyhealth.org'],"['https://facebook.com/daylilyhealth', 'https://www.linkedin.com/company/daylilyhealth', 'https://instagram.com/daylilyhealth']",['(248) 556-4556'],"['2723 S State St., Ste 150']"
woodstocklodge246.org,nan,nan,nan,nan
burkeoppenheim.com,nan,nan,nan,nan
eringallagher.wordpress.com,nan,nan,nan,nan
snugharborca.com,nan,nan,nan,nan
successoilco.com,nan,nan,nan,nan
thermalpd.com,nan,nan,nan,nan
emergencyinternational.org,nan,nan,nan,nan
foxtrailerservice.com,nan,nan,nan,nan
nomadicbearproductions.com,nan,nan,nan,nan
powersfamilymedicine.com,['Questions@PowersFamilyMedicine.com'],['http://www.facebook.com/powersmedicine'],"['+1 248 987-2958', '(124) 848-2622', '+1 248 482-6222']",nan
themacks.wordpress.com,nan,nan,nan,nan
timothylee.us,nan,nan,nan,nan
nu-imagepainting.com,nan,nan,nan,nan
southsidedentalcare-dentalclinic.business.site,nan,nan,nan,nan
citadelurban.com,nan,"['https://www.facebook.com/profile.php?id=61555742331720', 'https://www.instagram.com/citadelurban/']","['(210) 898-4777', '(615) 557-4233']",nan
coopster.org,nan,"['http://twitter.com/share?url=http://coopster.org/4/post/2025/03/back-on-line.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2021/05/happy-days-we-now-have.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2021/04/but-we-have-not-done-it-alone.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2021/04/how-time-flies.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/11/november-23rd-2020.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/11/update-from-nymboida.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/02/sunday-feb-9th.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/02/update-7th-of-february.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/01/jan-27th-2020.html', 'http://twitter.com/share?url=http://coopster.org/4/post/2020/01/january-24th-2020.html']","['343-2011', '003-2018', '20032018']",nan
directjet.com,nan,nan,nan,nan
sacreativedesign.com,nan,nan,nan,nan
yjlashstudio.com,nan,nan,nan,nan
sanfranciscowinecenter.com,nan,nan,nan,nan
sceniclandscaping.net,nan,nan,nan,nan
techsynario.com,nan,nan,nan,nan
temploebenezerweslaco.com,nan,nan,nan,nan
cotherix.com,nan,nan,nan,nan
leahyfamilydentistry.com,nan,nan,nan,nan
ohanacrm.com,nan,nan,nan,nan
pd2llc.com,nan,nan,nan,nan
romesportshalloffame.com,nan,nan,nan,nan
studiobsalon.net,nan,nan,nan,nan
aristacons.com,['Supportyou@Delaware.com'],"['https://facebook.com/delaware', 'https://twitter.com/delaware']","['+1 857 899-0009', '+2 857 899-0009', '+3 857 899-0009', '(857) 899-0009']",['DE 198 Tech Road']
sbmobilenails.com,nan,nan,nan,nan
aether-multimedia-llc.business.site,nan,nan,nan,nan
aspecialtouchflorist.net,nan,nan,nan,nan
cowpaddyfudge.wordpress.com,nan,nan,nan,nan
maquez-kennelz.business.site,nan,nan,nan,nan
tax-masters.net,nan,nan,nan,nan
ticketsregina.com,nan,nan,nan,nan
abujaluxuryhome.com,nan,nan,nan,nan
belozapp.com,nan,nan,nan,nan
harmonystarkennel.com,nan,nan,nan,nan
homesforsalescv.com,nan,nan,nan,nan
1stamc.com,"['info@1stamc.com', 'info@1stAMC.com']","['https://www.facebook.com/1stAMC/', 'https://www.linkedin.com/in/susan-and-manuel-perez-44933012']","['(626) 483-6281', '(626) 483-6280', '449-3301', '(800) 944-4072', '(180) 094-4407', '116-7259', '101222979', '(162) 648-3628']",nan
abbevillecalendar.com,nan,nan,nan,nan
apollostreams.com,nan,nan,nan,nan
fitfeetflorida.com,"['', 'template.placeholder@gmail.com']","['https://www.facebook.com/FitFeetForLifeFootandAnkle/', 'https://www.facebook.com/squarespace/', 'https://twitter.com/squarespace?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor']","['(813) 645-1993', '(727) 824-5100', '813-6451', '(813) 563-6458', '(212) 555-0110']",nan
kaylabeehler.com,nan,"['https://www.instagram.com/kb_designs/', 'https://www.linkedin.com/in/kayla-beehler-61691410a/']",['616-9141'],nan
parisfumc.org,nan,nan,nan,nan
jointguard.com,['\n                       info@liptisusa.com\n                    '],nan,nan,nan
kusbeautyusa.com,nan,nan,nan,nan
logansquarelaundry.com,nan,nan,nan,nan
mogreenway.com,nan,nan,['(314) 400-8136'],nan
al-advertising-diet-store.com,nan,nan,nan,nan
artworkbydoyle.com,nan,nan,nan,nan
bc-hinger.com,nan,nan,nan,nan
beautyblueprintllc.com,nan,nan,nan,nan
bookkeepinglogic.com,nan,nan,nan,nan
neomedia-dg.com,nan,"['https://www.facebook.com/neomedia.dg', 'https://www.instagram.com/neomedia.dg', 'https://www.linkedin.com/company/neomedia-design-group']","['(915) 201-2695', '+2 491 520-12695']",nan
reveportraits.com,nan,nan,nan,nan
rustyskate.com,nan,nan,nan,nan
shootmethevin.com,nan,nan,nan,nan
3lechesbake.com,nan,nan,nan,nan
baypointlabs.com,"['info@baypointlabs.com', '']",nan,['(707) 747-6081'],nan
bigtransformerbushings.com,nan,nan,nan,nan
feltgoodmusic.com,nan,nan,nan,nan
lionsteelstructuresco.com,nan,nan,nan,nan
royaltycleaningva.co,nan,nan,nan,nan
sherricornett.com,nan,nan,['110-5864'],nan
childcarecompany.org,nan,['//www.facebook.com/childcarecompany'],"['(240) 583-0865', '(171) 012-0116']",nan
kathrynsonmoonlake.com,nan,nan,nan,nan
periogel.net,nan,nan,nan,nan
prashnercpa.com,nan,"['https://www.facebook.com/Barbara-Prashner-CPA-PC-128144142015', 'https://us.linkedin.com/in/barbara-prashner-cpa-p-c-8914127']","['891-4127', '20182020', '(512) 326-1440', '(128) 144-1420']",nan
whittiershuttle.com,['info@alaskacruisetransfer.com'],nan,"['(190) 735-0601', '181-8709', '+1 888 257-8527', '1907350601018882578527', '+1 907 350-6010']",nan
aetheradvisors.com,nan,nan,nan,nan
ageanabrett.com,nan,nan,nan,nan
crossroadsrvpk.com,nan,nan,nan,nan
fightguard.net,nan,nan,nan,nan
nationalcapitalfitday.com,nan,nan,nan,nan
ordercrustandbuns.com,nan,nan,nan,nan
seattlecandle.com,nan,nan,nan,nan
theneedlehouse.com,['NeedleHouse@TheNeedleHouse.com'],nan,"['(713) 522-9766', '(713) 522-9704', '(171) 352-2976', '131-2646', '20072025', '184-0218', '(171) 352-2970']",['2422 Tangley Street']
allstarbp.com,nan,nan,nan,nan
dallassurgicalgroup.com,nan,nan,nan,nan
daveandtracy.org,nan,nan,nan,nan
garagedoor-repair-waynenj.com,nan,nan,['(973) 319-7770'],"['Our Address: 1591 Alps Rd, Wayne, NJ 07470, USA']"
jshs-tn.utk.edu,nan,nan,nan,nan
jtheater.com,nan,nan,nan,nan
randrdance.com,nan,nan,nan,nan
sbstransportllc.com,nan,nan,nan,nan
when2heartsbeatas1.org,nan,nan,nan,nan
abreakdisabilityandrespite.com,nan,nan,nan,nan
aestatix.com,nan,nan,nan,nan
cadottfamilyrestaurant.com,nan,nan,nan,nan
figureitoutagency.com,nan,nan,nan,nan
galleongc.com,nan,nan,nan,nan
jadynbags.com,nan,nan,nan,nan
liverpoolchurch.com,nan,nan,nan,nan
cwenergyusa.com,nan,nan,nan,nan
indiyoung.com,nan,nan,nan,nan
newasianjuyuan.com,nan,nan,"['(763) 595-8888', '205-5427']",nan
simplicitymovers.com,nan,nan,nan,nan
smartdivorcestrategy.com,nan,"['https://www.linkedin.com/in/lauramiolla/', 'https://www.instagram.com/thebrainwisecoach/']",nan,nan
tandoorrestaurants.com,nan,nan,nan,nan
tribeofdantours.com,['danglick62@gmail.com'],nan,['(513) 328-8852'],nan
boyettrecovery.com,nan,nan,nan,nan
erikashome.com,nan,nan,nan,nan
hbcofrochester.org,nan,['https://www.facebook.com/JesuslovesRochester/'],['(217) 491-3343'],nan
littlefeetforestschool.org,nan,nan,nan,nan
motinidesigns.com,nan,nan,nan,nan
nationalcarousels158.com,nan,nan,nan,nan
2020relining.com,nan,nan,nan,nan
advancenetsupport.com,"['info@advancenetsupport.com', 'By submitting, I consent to receive text messages from Advance Network Support related to IT support issues, newsletter, tech tips, follow-up on your IT request ticket , etc. You may reply STOP to opt-out at any time. For assistance, reply HELP or email help@advancenetsupport.com. Messages and data rates may apply. Message frequency will vary. Learn more on our privacy policy page. *']","['https://www.facebook.com/profile.php?id=100064803528337', 'https://www.linkedin.com/company/106028228/admin/dashboard/', 'https://www.instagram.com/advancenetworksupport/']","['(100) 064-8035', '(305) 306-6487', '(178) 642-6349', '(786) 426-3492', '106-0282']",nan
drtompastor.com,"['', 'drtom@drtompastor.com']",nan,['(612) 314-3739'],['227 Colfax Ave N']
mottshay.com,nan,nan,nan,nan
patscrap.co.uk,nan,nan,nan,nan
rethinkingwealth.org,nan,nan,nan,nan
centralcoastmd.com,nan,nan,nan,nan
ellen4wcsd.com,nan,nan,nan,nan
missinglnk.com,nan,nan,nan,nan
themorvarid.com,nan,nan,nan,nan
thephotoboothunlimited.com,nan,nan,nan,nan
urtubiavielma.com,nan,nan,nan,nan
advertiserandmarketersplatform.com,nan,nan,nan,nan
carvedsoulsmusic.com,nan,nan,nan,nan
assemblyninja.com,nan,nan,['(909) 278-9985'],nan
biodyn-lifesciences.com,nan,nan,nan,nan
pastorecompany.com,nan,nan,nan,nan
sheetmetallocal399.com,nan,nan,nan,nan
sweetadswebcast.com,nan,"['http://facebook.com/sweetadelinesintl', 'http://instagram.com/sweetadelinesintl']",nan,nan
greenissue.eu,nan,nan,nan,nan
kcc.org,nan,nan,nan,nan
river-valley-rv-park-tx.business.site,nan,nan,nan,nan
scentvillage.com,nan,nan,nan,nan
virtekcompany.com,"['info@virtekcompany.com', '   info@virtekcompany.com']",nan,"['(800) 844-9182', '(117) 225-6979']",nan
saipanyc.com,nan,nan,nan,nan
hiddengallerywines.com,nan,"['https://www.facebook.com/hiddengallerywines', 'https://www.instagram.com/hiddengallerywines/']",nan,nan
kristyler.com,nan,nan,nan,nan
perspicacitylabs.com,nan,nan,nan,nan
theuntamedcreative.co,nan,nan,nan,nan
angelabrite.com,nan,nan,nan,nan
clovercutsandcolor.com,nan,nan,nan,nan
macazancorp.com,nan,nan,nan,nan
ngchm.net,nan,"['https://www.facebook.com/NextGenerationClusteredHeatMap', 'https://twitter.com/nextgenheatmaps', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps-v2%2f', 'https://twitter.com/intent/tweet?text=How%20to%20Embed%20Next-Generation%20Clustered%20Heat%20Maps&url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps-v2%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps-v2%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fnew-features-in-ngchm-viewer%2f', 'https://twitter.com/intent/tweet?text=New%20Features%20in%20the%20NG-CHM%20Viewer%20and%20Builder&url=%2fpost%2fnew-features-in-ngchm-viewer%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fnew-features-in-ngchm-viewer%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fnew-features-in-rstudio-ngchm%2f', 'https://twitter.com/intent/tweet?text=New%20features%20in%20the%20NG-CHM%20RStudio%20Containers&url=%2fpost%2fnew-features-in-rstudio-ngchm%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fnew-features-in-rstudio-ngchm%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fnew-features-in-ngchm-galaxy%2f', 'https://twitter.com/intent/tweet?text=New%20features%20in%20the%20NG-CHM%20Galaxy%20Tool&url=%2fpost%2fnew-features-in-ngchm-galaxy%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fnew-features-in-ngchm-galaxy%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps%2f', 'https://twitter.com/intent/tweet?text=Deprecated%3a%20How%20to%20Embed%20Next-Generation%20Clustered%20Heat%20Maps&url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-embed-next-generation-clustered-heat-maps%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-examine-pathways-in-next-generation-clustered-heat-maps%2f', 'https://twitter.com/intent/tweet?text=How%20to%20Examine%20Pathways%20in%20Next%20Generation%20Clustered%20Heat%20Maps&url=%2fpost%2fhow-to-examine-pathways-in-next-generation-clustered-heat-maps%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-examine-pathways-in-next-generation-clustered-heat-maps%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-interactive-builder%2f', 'https://twitter.com/intent/tweet?text=How%20to%20Create%20Next-Generation%20Clustered%20Heat%20Maps%20with%20the%20Interactive%20Builder&url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-interactive-builder%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-interactive-builder%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2flinkout-type-descriptions%2f', 'https://twitter.com/intent/tweet?text=Linkout%20Type%20Descriptions&url=%2fpost%2flinkout-type-descriptions%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2flinkout-type-descriptions%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-isb-cgc-data%2f', 'https://twitter.com/intent/tweet?text=How%20to%20Create%20Next-Generation%20Clustered%20Heat%20Maps%20with%20data%20from%20the%20ISB%20Cancer%20Genomics%20Cloud&url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-isb-cgc-data%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fhow-to-create-next-generation-clustered-heat-maps-with-isb-cgc-data%2f', 'https://www.facebook.com/sharer/sharer.php?u=%2fpost%2fclustered-heat-maps-for-big-data%2f', 'https://twitter.com/intent/tweet?text=Clustered%20Heat%20Maps%20for%20Big%20Data&url=%2fpost%2fclustered-heat-maps-for-big-data%2f', 'https://www.linkedin.com/cws/share?url=%2fpost%2fclustered-heat-maps-for-big-data%2f']",['267-4271'],nan
projectgestalt.com,nan,nan,nan,nan
ridgelinehomeinspect.com,nan,nan,nan,nan
serenapezzato.com,nan,nan,nan,nan
theblueprintshop.com,nan,nan,nan,nan
yourtowcompany.com,nan,nan,nan,nan
designedbycarla.com,nan,nan,nan,nan
joyfuladoptions.com,nan,nan,nan,nan
king-alexander.com,nan,nan,nan,nan
signaturesportsurfaces.com,nan,nan,nan,nan
whymessa.com,nan,nan,"['(610) 518-5328', '(215) 844-1614', '(856) 810-9555', '(215) 568-3500', '(856) 833-0600', '(856) 810-9500', '(908) 300-3900', '(215) 940-7700']","['2091 Springdale Road, Suite 2']"
deperevfw.net,nan,nan,nan,nan
forrestpierce.com,['forrest@forrestpierce.com'],nan,['(971) 322-6669'],['3939 Aster Street']
northsidemeadows.com,nan,nan,nan,nan
snfdata.com,['support@SNFdata.com'],nan,['(877) 610-3282'],nan
taam.org,nan,nan,nan,nan
archaeology.virginia.edu,nan,nan,nan,nan
myapexhomeinspection.com,nan,nan,nan,nan
rivertownslp.com,nan,nan,nan,nan
scottsbluffcountyscanner.com,['Email : sbcoscanner@gmail.com'],"['https://facebook.com/panhandlescanner', 'https://facebook.com/custercountyscanner', 'https://facebook.com/dawescountyscanner', 'https://facebook.com/siouxcountyscanner', 'https://facebook.com/boxbuttecountyscanner', 'https://www.facebook.com/groups/140034503151221', 'https://instagram.com/panhandlescanner', 'https://twitter.com/sbcoscanner', 'http://instagram.com/panhandlescanner', 'http://twitter.com/sbcoscanner']","['(104) 700-7871', '(940) 224-6315', '(940) 224-6211', '(140) 034-5031']",nan
bloggingforextrader.com,nan,nan,nan,nan
green-graphixz-clothing-company.business.site,nan,nan,nan,nan
ogcut.com,nan,nan,nan,nan
50ggirls.com,nan,nan,nan,nan
alluredesign.org,nan,nan,nan,nan
moving2branson.com,nan,nan,nan,nan
roland4fairview.com,nan,nan,nan,nan
beezneedz.com,nan,nan,nan,nan
callunakennels.com,nan,nan,nan,nan
car.hk,nan,nan,nan,nan
audinashville.com,nan,"['https://www.facebook.com/pages/Audi-Nashville/162522013767116', 'https://twitter.com/audi_nashville', 'https://www.instagram.com/audi/', 'https://www.facebook.com/audidowntownnashville', 'https://twitter.com/AudiDTNashville', 'https://www.instagram.com/AudiDowntownNashville/']","['(855) 894-6954', '(162) 522-0137']",nan
blackdiamondregulatory.com,"['blackdiamondreg@gmail.com', '', '(267) 251-3123 | blackdiamondreg@gmail.com']",nan,['(267) 251-3123'],nan
drmeganseltz.com,['megan@drmreganseltz.com'],nan,"['(347) 753-4657', '(134) 775-3465']",nan
petexplain.com,nan,nan,nan,nan
rainbowphillyweddingofficiants.com,nan,nan,nan,nan
sinceremobilephlebotomy.net,"['christina@sinceremobilephlebotomy.net', 'sincerephlebotomy@gmail.com']","['https://www.facebook.com/sincerephlebotomy', 'http://instagram.com/']","['(682) 262-1935', '(817) 939-3117', '(682) 334-7282']",nan
aquamarinejewelrystudio.com,nan,nan,nan,nan
christinereidphotography.com,nan,nan,nan,nan
dolphinsdigital.org,nan,"['https://facebook.com/', 'http://linkedin.com/']",['626-0712'],nan
downunderpottery.com,['studio@downunderpottery.com'],"['https://facebook.com/Down-Under-Pottery-291748188809/', 'https://instagram.com/downunderpottery']","['(291) 748-1888', '(402) 477-7655']","['5731 Vine St, Lincoln, NE, 68505, United States']"
drrudlin.com,nan,nan,['(804) 353-1000'],['4600 Grove\xa0Avenue']
interstatetruck.com,nan,nan,['(404) 763-2000'],['2740 Sullivan Road']
oldfarmhouseprimitives.com,nan,nan,nan,nan
dskidsermons.com,nan,nan,nan,nan
autobodiparts.com,nan,nan,nan,nan
hiddenforestdesign.com,nan,nan,nan,nan
jahmakingsconstruction.com,nan,nan,nan,nan
journey2beme.com,nan,nan,nan,nan
marylandplatingservicinginc.com,nan,nan,nan,nan
salazarthomas.com,nan,nan,nan,nan
3lnotary.com,nan,nan,nan,nan
creativitythroughconstraints.com,nan,nan,nan,nan
govirtualoffice.com,nan,"['https://www.facebook.com/govirtualoffice/', 'https://twitter.com/goVirtualOffic1', 'https://www.linkedin.com/company/govirtualoffice']",nan,"['1021 Quinn Dr #200 Waunakee, WI 53597']"
origingolf.com,nan,nan,nan,nan
secag.org,['svp@secag.org'],"['http://www.facebook.com/keenwise', 'https://twitter.com/keenwise_inc']",['+1 469 708-7818'],nan
theburningship.com,nan,nan,nan,nan
gforcefoundation.com,nan,['https://www.facebook.com/GForceAR'],"['20232024', '390-8935']",nan
limitlesscounselingservices.com,nan,nan,['000-0043'],nan
lodgelivin.com,nan,nan,nan,nan
